,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
427,현대 LF쏘나타 2.0 스마트,차량번호 239나5334,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181811&gubun=K,2014.12 (15년형),"79,792 km",가솔린,"1,999 cc (168마력)",흰색,만료,970만원,38,1,1,0,1,1,1,1,1,0,1,등록,7,0,0,0,0,2,"7,892,629",3,"16,807,216"
428,기아 더 뉴 모하비 3.0 디젤 AWD  VIP,차량번호 07어9173,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181963&gubun=K,2016.12 (17년형),"96,076 km",디젤,"2,959 cc (260마력)",진회색,만료,"1,660만원",37,1,0,1,1,0,1,0,1,0,1,등록,8,1,0,0,0,1,"27,171,818",0,0
429,르노삼성 뉴SM5 플래티넘 2.0  LE,차량번호 43버7817,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177517&gubun=K,2013.08,"86,829 km",가솔린,"1,998 cc (141마력)",흰색,만료,599만원,22,1,1,1,1,0,1,0,1,0,0,등록,5,0,0,0,0,3,"6,473,590",1,"2,089,470"
430,쉐보레 말리부 2.0 LT 디럭스팩,차량번호 29라4501,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158183&gubun=K,2012.11 (13년형),"93,936 km",가솔린,"1,998 cc (141마력)",검정색,만료,599만원,22,1,0,1,1,0,1,0,1,0,0,등록,5,0,0,0,0,3,"2,054,702",1,"394,009"
431,현대 그랜저HG 하이브리드 2.4 HEV 프리미엄,차량번호 30우7475,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159280&gubun=K,2014.11 (15년형),"86,882 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,"1,230만원",33,0,0,1,1,1,1,0,1,0,1,등록,5,0,0,0,0,5,"5,876,279",3,"2,604,026"
432,기아 더 뉴 K5 2.0 LPi  럭셔리,차량번호 270로9166,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159289&gubun=K,2019.01,"48,666 km",LPG,"1,999 cc (151마력)",흰색,"60개월 / 100,000km","1,099만원",57,0,0,1,0,0,1,0,1,0,1,등록,,,,,,,,,
433,기아 올 뉴 K7 2.4 프레스티지,차량번호 357루5809,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161626&gubun=K,2018.03,"65,626 km",가솔린,"2,359 cc (190마력)",검정색,"60개월 / 100,000km","1,550만원",50,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
434,현대 그랜저HG 240 럭셔리,차량번호 13가5304,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161761&gubun=K,2011.03,"97,593 km",가솔린,"2,359 cc (201마력)",검정색,만료,699만원,23,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,2,"5,030,626",3,"2,055,304"
435,기아 스팅어 3.3 터보 GT,차량번호 185누3562,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161948&gubun=K,2017.05 (18년형),"64,580 km",가솔린,"3,342 cc (370마력)",검정색,만료,"2,499만원",51,1,0,1,1,1,1,1,1,1,1,등록,3,0,0,0,0,0,0,0,0
436,현대 올 뉴 투싼 2.0 디젤 2WD 모던,차량번호 36더1467,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163470&gubun=K,2017.03,"29,250 km",디젤,"1,995 cc (186마력)",진회색,만료,"1,599만원",59,1,1,1,1,0,1,0,1,0,1,등록,4,1,0,0,0,3,"28,967,000",2,"2,779,330"
437,현대 그랜저HG 240 모던,차량번호 14나5228,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2165107&gubun=K,2015.01,"116,174 km",가솔린,"2,359 cc (190마력)",검정색,만료,950만원,31,1,1,1,1,1,1,0,1,0,1,등록,5,0,0,0,0,6,"7,211,339",6,"6,643,159"
438,기아 더 뉴 K5 2.0 트렌디,차량번호 67나3319,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2165266&gubun=K,2014.11 (15년형),"112,968 km",가솔린,"1,999 cc (172마력)",은색,만료,630만원,25,0,0,1,1,0,1,0,1,0,0,등록,4,0,0,0,0,6,"13,029,373",4,"17,912,602"
439,현대 그랜저IG 3.3 셀러브리티,차량번호 51누6969,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169509&gubun=K,2017.03 (18년형),"86,568 km",가솔린,"3,342 cc (290마력)",흰색,만료,"2,230만원",51,1,1,1,1,1,1,1,1,1,1,등록,1,0,0,0,0,1,"566,070",0,0
440,현대 LF쏘나타 2.0 스마트,차량번호 03주0406,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169566&gubun=K,2016.07,"47,704 km",가솔린,"1,999 cc (168마력)",은색,만료,890만원,35,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,2,"4,395,160",1,"753,700"
441,기아 올 뉴 K7 2.2 디젤 프레스티지,차량번호 164노7772,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170861&gubun=K,2016.05,"90,930 km",디젤,"2,199 cc (202마력)",검정색,정보없음,"1,550만원",46,0,0,1,0,0,1,0,1,0,1,등록,3,0,0,0,0,2,"8,554,603",0,0
442,기아 K7 프리미어 2.2 디젤 노블레스,차량번호 264거7242,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172010&gubun=K,2019.10 (20년형),"75,651 km",디젤,"2,199 cc (202마력)",진회색,"60개월 / 100,000km","2,240만원",59,0,0,1,1,1,1,0,1,1,1,등록,2,0,0,0,0,1,"12,758,280",0,0
443,르노삼성 SM6 2.0 RE,차량번호 25저0490,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174276&gubun=K,2016.07,"99,095 km",가솔린,"1,997 cc (150마력)",검정색,만료,899만원,30,0,0,0,0,1,1,0,1,0,1,등록,,,,,,,,,
444,르노삼성 QM6 2.0 디젤 4WD RE 시그니처,차량번호 04고0240,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174933&gubun=K,2016.12 (17년형),"83,826 km",디젤,"1,995 cc (177마력)",진회색,만료,"1,480만원",42,1,1,0,1,1,1,1,1,0,1,등록,1,1,0,0,0,3,"2,017,250",1,0
445,기아 더 뉴 K7 3.0 프레스티지,차량번호 53가8351,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176477&gubun=K,2014.10 (15년형),"86,274 km",가솔린,"2,999 cc (270마력)",흰색,만료,960만원,29,1,1,1,1,1,1,0,1,1,1,등록,4,0,0,0,0,3,"12,176,274",1,"4,721,018"
446,제네시스 더 올 뉴 G80 2.5 터보,차량번호 375모6326,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176468&gubun=K,2020.04 (21년형),"22,392 km",가솔린,"2,497 cc (304마력)",진회색,"60개월 / 100,000km","4,099만원",78,0,0,1,1,1,1,0,1,0,1,등록,2,1,0,0,0,1,"41,620,000",3,"3,800,920"
447,기아 올 뉴 K7 2.4  프레스티지,차량번호 08수0384,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176481&gubun=K,2016.10,"58,114 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,560만원",50,0,0,1,1,0,1,0,1,0,1,등록,0,0,0,0,0,2,"1,146,870",0,0
448,기아 올 뉴 모닝 1.0  럭셔리,차량번호 48보7179,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176482&gubun=K,2011.02 (12년형),"104,105 km",가솔린,998 cc (82마력),진회색,만료,399만원,33,0,0,1,0,0,1,0,1,0,0,등록,4,0,0,0,0,4,"3,526,973",1,"1,213,363"
449,현대 쏘나타 뉴 라이즈 2.0 스마트 스페셜,차량번호 346더8032,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177099&gubun=K,2019.01,"73,981 km",가솔린,"1,999 cc (163마력)",진회색,"60개월 / 100,000km","1,199만원",45,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,1,"11,298,810",1,"422,661"
450,기아 올 뉴 K7 2.4 프레스티지,차량번호 67가0462,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176949&gubun=K,2016.07,"42,303 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,440만원",46,1,1,1,1,0,1,0,1,0,1,등록,2,0,0,0,0,1,"456,396",2,"3,266,200"
451,기아 스포티지R 2.0 디젤 2WD TLX 최고급형,차량번호 36도3854,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177101&gubun=K,2012.05,"94,091 km",디젤,"1,995 cc (184마력)",흰색,만료,690만원,27,1,1,1,1,0,1,0,1,0,1,등록,3,0,0,0,0,6,"8,838,978",5,"5,887,710"
452,현대 LF쏘나타 2.0  스마트,차량번호 11조2191,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177134&gubun=K,2015.05,"109,235 km",가솔린,"1,999 cc (168마력)",회색,만료,899만원,35,0,0,1,1,1,1,1,1,0,1,등록,1,0,0,0,0,8,"12,993,479",4,"4,392,900"
453,현대 LF쏘나타 2.0 스마트,차량번호 29구1639,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177809&gubun=K,2014.10 (15년형),"93,881 km",가솔린,"1,999 cc (168마력)",검정색,만료,790만원,31,0,0,1,0,1,1,1,1,0,0,등록,4,0,0,0,0,1,"7,473,428",0,0
454,현대 아반떼AD 1.6 디젤 스마트 스페셜,차량번호 61노0831,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177820&gubun=K,2016.03,"76,224 km",디젤,"1,582 cc (136마력)",진회색,만료,799만원,37,0,0,1,0,0,1,0,1,0,1,등록,1,0,0,0,0,2,"3,366,303",1,"5,317,464"
455,기아 K5 2세대 1.7 디젤 SX 프레스티지,차량번호 31도4546,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178789&gubun=K,2015.10,"49,129 km",디젤,"1,685 cc (141마력)",흰색,만료,"1,240만원",45,1,1,1,0,0,1,0,1,0,1,등록,,,,,,,,,
456,기아 올 뉴 K7 3.3 리미티드 플러스,차량번호 03루4596,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178811&gubun=K,2017.06,"49,283 km",가솔린,"3,342 cc (290마력)",검정색,만료,"1,760만원",47,0,0,1,1,0,1,0,1,1,1,등록,,,,,,,,,
457,현대 아반떼AD 1.6 디젤 스마트,차량번호 13무0693,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179212&gubun=K,2015.10 (16년형),"83,145 km",디젤,"1,582 cc (136마력)",은색,만료,660만원,33,1,0,1,0,0,1,0,1,0,1,등록,4,0,0,0,0,6,"9,151,048",1,"2,641,440"
458,현대 그랜저HG 300  프리미엄,차량번호 36나0832,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179559&gubun=K,2011.03,"174,751 km",가솔린,"2,999 cc (270마력)",검정색,만료,540만원,16,1,1,1,1,0,1,0,1,0,1,등록,4,0,0,0,0,6,"4,677,060",2,"1,776,158"
459,기아 스팅어 마이스터 3.3 터보 AWD  GT 마스터즈 터보팩,차량번호 164로2600,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179575&gubun=K,2021.06,"23,658 km",가솔린,"3,342 cc (373마력)",청색,"60개월 / 100,000km","3,399만원",준비중,1,0,1,1,1,1,1,1,1,1,등록,1,0,0,0,0,0,0,0,0
460,현대 그랜저HG 240  럭셔리,차량번호 63모5260,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179772&gubun=K,2011.04,"113,288 km",가솔린,"2,359 cc (201마력)",검정색,만료,699만원,23,0,0,1,1,0,1,0,1,0,1,등록,3,0,0,0,0,2,"1,730,140",6,"14,920,204"
461,기아 스팅어 2.0 터보  플래티넘,차량번호 34조2242,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179819&gubun=K,2018.05,"75,906 km",가솔린,"1,998 cc (255마력)",검정색,"60개월 / 100,000km","2,299만원",60,0,0,1,1,1,1,0,1,1,1,등록,,,,,,,,,
462,현대 코나 일렉트릭 2WD 프리미엄,차량번호 43마7914,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179825&gubun=K,2020.04,"63,710 km",전기,180 cc (204마력),흰색,"60개월 / 100,000km","2,540만원",50,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,4,"2,109,499",3,"13,215,320"
463,기아 레이 1.0  럭셔리,차량번호 16나4213,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180362&gubun=K,2012.09 (13년형),"106,740 km",가솔린,998 cc (78마력),흰색,만료,460만원,33,0,0,0,1,0,1,0,1,0,0,등록,1,0,0,0,0,12,"20,583,310",9,"13,249,793"
464,쉐보레 스파크 1.0 LT,차량번호 69노5860,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180093&gubun=K,2013.10 (14년형),"115,477 km",가솔린,995 cc (70마력),검정색,만료,299만원,25,,,,,,,,,,,등록,2,0,0,0,0,3,"8,008,410",2,"5,807,450"
465,현대 아반떼AD 1.6 디젤 프리미엄,차량번호 52거0899,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180095&gubun=K,2015.11 (16년형),"105,460 km",디젤,"1,582 cc (136마력)",흰색,만료,799만원,33,1,0,1,1,1,1,0,1,0,1,등록,2,0,0,0,0,2,"2,689,890",3,"2,631,400"
466,현대 올 뉴 투싼 1.7 디젤 2WD  모던,차량번호 23도0587,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182943&gubun=K,2016.01,"153,225 km",디젤,"1,685 cc (141마력)",흰색,만료,"1,090만원",42,1,1,1,1,1,1,0,1,0,1,등록,,,,,,,,,
467,기아 스포티지 4세대 2.0 디젤 2WD  노블레스 스페셜,차량번호 19나0662,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182946&gubun=K,2016.05,"135,016 km",디젤,"1,995 cc (186마력)",검정색,만료,"1,160만원",40,0,0,1,1,1,1,0,1,0,0,등록,,,,,,,,,
468,기아 더 뉴 K7 2.4  프레스티지 스페셜,차량번호 56우1748,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182947&gubun=K,2013.06,"134,546 km",가솔린,"2,359 cc (201마력)",흰색,만료,760만원,24,1,1,1,1,1,1,0,1,0,1,등록,8,0,0,0,0,3,"4,942,000",4,"2,026,058"
469,현대 더 뉴 그랜저 2.5  르블랑,차량번호 241러7657,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182948&gubun=K,2021.12 (22년형),"17,864 km",가솔린,"2,497 cc (198마력)",검정색,"60개월 / 100,000km","3,150만원",준비중,0,0,1,1,0,1,0,1,1,1,등록,2,0,0,0,0,1,"15,539,322",0,0
470,현대 엑센트  1.6  프리미어,차량번호 59두1847,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182950&gubun=K,2011.08,"85,867 km",가솔린,"1,591 cc (140마력)",흰색,만료,"9,999만원",763,0,0,1,0,0,1,0,1,0,0,등록,5,0,0,0,0,2,"1,613,000",5,"4,741,506"
471,현대 올 뉴 투싼 2.0 디젤 2WD  모던,차량번호 11저6965,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182951&gubun=K,2015.05 (16년형),"110,206 km",디젤,"1,995 cc (186마력)",흰색,만료,"9,999만원",376,0,0,0,0,1,1,0,1,0,1,등록,0,0,0,0,0,2,"5,895,812",0,0
472,현대 아반떼AD 1.6  밸류 플러스,차량번호 45모9458,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182952&gubun=K,2017.01,"49,940 km",가솔린,"1,591 cc (132마력)",진회색,만료,"9,999만원",591,0,0,1,0,0,1,0,1,0,1,등록,,,,,,,,,
473,기아 쏘렌토 4세대 2.5 가솔린 터보 2WD  시그니처,차량번호 256루5094,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182953&gubun=K,2021.03,"11,927 km",가솔린,"2,497 cc (281마력)",진회색,"60개월 / 100,000km","9,999만원",259,,,,,,,,,,,등록,1,0,0,0,0,1,"7,570,001",1,0
474,현대 아반떼AD 1.6 디젤  스마트 스페셜,차량번호 63우4654,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182675&gubun=K,2015.10 (16년형),"93,765 km",디젤,"1,582 cc (136마력)",흰색,만료,999만원,46,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,1,"208,150",0,0
475,쉐보레 크루즈 1.8  LT 플러스,차량번호 42저4531,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182673&gubun=K,2012.10 (13년형),"135,058 km",가솔린,"1,796 cc (142마력)",흰색,만료,340만원,17,1,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,3,"1,974,696",4,"4,189,660"
476,현대 쏘나타 뉴 라이즈 2.0 LPi  모던,차량번호 01우3293,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182813&gubun=K,2017.10 (18년형),"58,651 km",LPG,"1,999 cc (151마력)",진회색,"60개월 / 100,000km","1,460만원",64,0,0,1,1,0,1,0,1,1,1,등록,1,0,0,0,0,8,"12,083,489",5,"7,015,230"
477,현대 아반떼MD 1.6  M16 프리미어,차량번호 60도7782,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181813&gubun=K,2011.01,"98,119 km",가솔린,"1,591 cc (140마력)",흰색,만료,499만원,27,1,0,1,1,0,1,0,1,0,1,등록,2,0,0,0,0,3,"11,880,350",1,"751,740"
478,현대 제네시스 DH G330  모던,차량번호 08보0458,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182674&gubun=K,2016.03,"52,401 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,760만원",37,0,0,1,1,0,1,0,1,0,1,등록,,,,,,,,,
479,현대 올 뉴 투싼 2.0 디젤 2WD  모던,차량번호 68다8761,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182350&gubun=K,2015.05 (16년형),"96,278 km",디젤,"1,995 cc (186마력)",흰색,만료,"1,199만원",45,0,0,1,0,1,1,0,1,0,1,등록,1,0,0,0,0,1,"4,675,610",2,"1,546,672"
480,기아 레이 1.0 프레스티지,차량번호 14마7254,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182514&gubun=K,2013.05,"97,339 km",가솔린,998 cc (78마력),진주색,만료,599만원,40,0,0,1,1,0,1,0,1,0,0,등록,0,0,0,0,0,8,"9,043,233",1,"2,264,718"
481,쌍용 티볼리 1.6 디젤 2WD  TX,차량번호 69두5284,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182535&gubun=K,2015.12 (16년형),"76,848 km",디젤,"1,597 cc (115마력)",흰색,만료,650만원,32,0,0,1,0,0,1,0,1,0,0,등록,3,1,0,0,0,2,"11,480,210",1,"5,347,960"
482,현대 LF쏘나타 2.0  프리미엄,차량번호 338머2334,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182523&gubun=K,2014.07 (15년형),"164,182 km",가솔린,"1,999 cc (168마력)",흰색,만료,760만원,26,0,0,1,1,1,1,0,1,0,1,등록,2,0,0,0,0,3,"5,989,993",1,"1,656,386"
483,기아 더 뉴 K7 2.4 프레스티지 스페셜,차량번호 37더4469,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182524&gubun=K,2014.03,"135,437 km",가솔린,"2,359 cc (201마력)",검정색,만료,720만원,22,0,0,1,1,0,1,0,1,0,1,등록,5,1,0,0,0,3,"17,362,420",1,"8,338,450"
484,현대 쏘나타 1.6 터보  프리미엄 패밀리,차량번호 142고3920,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182348&gubun=K,2020.05 (21년형),"51,390 km",가솔린,"1,598 cc (180마력)",검정색,"60개월 / 100,000km","1,940만원",65,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,2,"4,818,136",1,"1,043,725"
485,기아 더 뉴 레이 1.0  프레스티지,차량번호 58러7938,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182517&gubun=K,2018.05,"24,068 km",가솔린,998 cc (78마력),검정색,"60개월 / 100,000km","1,160만원",73,0,0,1,1,0,1,0,1,0,1,등록,,,,,,,,,
486,현대 그랜저HG 240  모던,차량번호 46누8785,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182525&gubun=K,2014.09 (15년형),"96,725 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,030만원",34,1,1,1,1,1,1,0,1,0,1,등록,2,0,0,0,0,4,"6,495,520",1,"922,867"
487,현대 아반떼AD 1.6 모던,차량번호 42소5584,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166879&gubun=K,2016.12 (17년형),"109,725 km",가솔린,"1,591 cc (132마력)",흰색,만료,799만원,40,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,3,"4,804,285",3,"4,153,247"
488,현대 더 뉴 아반떼AD 1.6 스마트,차량번호 251루4139,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182765&gubun=K,2018.10 (19년형),"63,025 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,360만원",75,0,0,1,0,0,1,0,1,0,1,등록,1,0,0,0,0,4,"3,218,211",0,0
489,현대 YF쏘나타 2.0 CVVL  탑,차량번호 12오8357,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182247&gubun=K,2011.05,"130,349 km",가솔린,"1,998 cc (172마력)",검정색,만료,399만원,14,0,0,1,1,0,1,0,1,0,0,등록,2,0,0,0,0,2,"1,034,098",0,0
490,쉐보레 더 넥스트 스파크 1.0  LTZ,차량번호 68오0571,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182243&gubun=K,2016.03,"64,044 km",가솔린,999 cc (75마력),흰색,만료,640만원,56,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
491,쉐보레 스파크 1.0  LT,차량번호 45고8917,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182242&gubun=K,2012.01,"87,238 km",가솔린,995 cc (70마력),검정색,만료,360만원,31,0,0,1,0,0,1,0,1,0,0,등록,3,0,0,0,0,2,"3,034,890",3,"2,635,288"
492,쉐보레 크루즈 1.4 터보 LTZ 플러스,차량번호 22모2883,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181971&gubun=K,2014.09,"106,569 km",가솔린,"1,362 cc (140마력)",흰색,만료,399만원,18,0,0,1,0,0,1,0,1,0,0,등록,0,0,0,0,0,4,"5,288,190",1,"413,980"
493,제네시스 EQ900 5.0 AWD  프레스티지,차량번호 254부1812,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182253&gubun=K,2018.04,"66,604 km",가솔린,"5,038 cc (425마력)",검정색,"60개월 / 120,000km","2,899만원",25,0,0,1,1,0,1,0,1,1,1,등록,5,1,0,0,0,1,"64,550,000",1,"3,803,160"
494,현대 아반떼AD 1.6  밸류 플러스,차량번호 52주9330,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181814&gubun=K,2017.02,"95,226 km",가솔린,"1,591 cc (132마력)",흰색,만료,860만원,50,0,0,1,0,0,1,0,1,0,0,등록,3,0,0,0,0,1,"15,486,105",1,"300,000"
495,쌍용 티볼리 에어 1.6 디젤 2WD RX,차량번호 29마1394,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181177&gubun=K,2017.04,"50,531 km",디젤,"1,597 cc (115마력)",흰색,만료,"1,460만원",58,1,0,1,1,0,1,0,1,0,0,등록,1,0,0,0,0,1,"480,620",0,0
496,기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,차량번호 09모0632,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180815&gubun=K,2016.04,"82,310 km",디젤,"1,995 cc (186마력)",검정색,만료,"1,900만원",63,1,1,1,1,0,1,0,1,0,1,등록,3,0,0,0,0,1,"874,832",0,0
497,기아 레이 1.0 럭셔리,차량번호 14조4238,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180811&gubun=K,2014.11 (15년형),"60,990 km",가솔린,998 cc (78마력),은색,만료,780만원,54,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,0,0
498,현대 싼타페TM 2.0 디젤 2WD 익스클루시브,차량번호 52가8958,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180295&gubun=K,2018.07 (19년형),"41,224 km",디젤,"1,995 cc (186마력)",흰색,"60개월 / 100,000km","2,560만원",79,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,1,"686,870",1,"396,250"
499,제네시스 G80 3.3 AWD 럭셔리,차량번호 377고2245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149566&gubun=K,2018.06,"45,690 km",가솔린,"3,342 cc (282마력)",검정색,"60개월 / 100,000km","3,140만원",65,0,0,1,1,1,1,0,1,1,1,등록,1,0,0,0,0,0,0,0,0
500,현대 코나 1.6 가솔린 터보 2WD 모던 아트,차량번호 61더8661,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2164799&gubun=K,2019.04,"27,233 km",가솔린,"1,591 cc (177마력)",흰색,"60개월 / 100,000km","2,020만원",92,0,0,1,1,0,1,0,1,0,1,등록,3,0,0,0,0,0,0,0,0
501,현대 더 뉴 그랜드스타렉스 2.5 디젤 캠핑카 2WD,차량번호 76루2733,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173848&gubun=K,2020.06 (21년형),"11,331 km",디젤,"2,497 cc (175마력)",흰색,정보없음,"4,260만원",준비중,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
502,기아 더 뉴 K7 2.4 프레스티지,차량번호 22조9804,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177276&gubun=K,2014.12 (15년형),"60,016 km",가솔린,"2,359 cc (201마력)",검정색,만료,"1,440만원",48,1,1,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
503,쌍용 렉스턴 스포츠 2.2 디젤 4WD 노블레스,차량번호 83거0330,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177854&gubun=K,2018.02,"82,523 km",디젤,"2,157 cc (181마력)",진회색,정보없음,"2,140만원",66,1,0,1,1,0,1,0,1,0,1,등록,2,0,0,0,0,1,"656,478",1,0
504,기아 더 뉴 카니발 2.2 디젤 9인승 프레스티지,차량번호 207라3896,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177859&gubun=K,2018.08 (19년형),"42,812 km",디젤,"2,199 cc (202마력)",진회색,"60개월 / 100,000km","2,540만원",73,0,0,1,1,1,1,0,1,0,0,등록,3,0,0,0,0,0,0,0,0
505,현대 그랜저HG 240 럭셔리,차량번호 56보3794,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177882&gubun=K,2012.09,"57,203 km",가솔린,"2,359 cc (201마력)",검정색,만료,960만원,32,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,2,"1,240,203",3,"1,845,639"
506,현대 포터2 CRDi 슈퍼캡 초장축 스마트,차량번호 82노1992,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177938&gubun=K,2020.08,"47,262 km",디젤,"2,497 cc ()",흰색,정보없음,"1,750만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,0,0
507,기아 봉고3 CRDi 킹캡 초장축 노블레스,차량번호 81주7477,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178021&gubun=K,2016.10 (17년형),"67,037 km",디젤,"2,497 cc ()",흰색,정보없음,"1,350만원",준비중,0,0,1,0,0,1,0,0,0,1,등록,2,0,0,0,0,0,0,4,"4,578,360"
